# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
39,-32194.44333,13.00147548,0,0.004,0.328,0.0003375104709,0.001852154059
38,-32194.47428,13.03243093,0,0.004,0.324,0.0003693684123,0.003289718626
24,-32194.51958,13.07773022,0,0.006,0.323,0.0001153320227,0.0001912911746
43,-32194.56961,13.12775667,0,0.007,0.33,0.0003510056104,3.72259777e-06
40,-32194.70925,13.26739514,0,0.006,0.319,0.0002385492757,0.000203844974
42,-32194.70933,13.26747552,0,0.006,0.319,0.0002383789804,0.0002099411627
41,-32194.70932,13.26747184,0,0.006,0.319,0.0002385318894,0.0002039316578
44,-32194.70938,13.26752942,0,0.006,0.319,0.0002385188224,0.000203998043
66,-32195.13255,13.69069619,0,0,0.236,2.536254957e-05,0.09667690448
821,-32195.13828,13.69642606,0,0,0.235,2.523793387e-05,0.09714318253
34,-32195.41887,13.97702079,0,0.002,0.283,6.419410281e-05,0.03018888007
68,-32196.06358,14.62172582,0,0.001,0.157,9.512864092e-06,0.195185866
526,-32196.07529,14.63344157,0,0.006,0.139,0.0003166614931,0.1217259326
508,-32196.18328,14.74142721,0,0.003,0.121,0.0001338506391,0.1106568306
67,-32196.1919,14.75004436,0,0,0.169,1.093400205e-05,0.09208971782
820,-32196.19273,14.7508742,0,0,0.168,8.680342477e-06,0.05900844092
819,-32196.19762,14.75577158,0,0,0.169,1.087851538e-05,0.09237536171
509,-32196.2359,14.79404821,0,0.005,0.121,0.0002222630956,0.09389497976
419,-32196.55747,15.11561935,0,0.002,0.093,5.615248289e-05,0.2105117074
418,-32196.55746,15.11560735,0,0.002,0.093,5.612625059e-05,7.838330892e-100
550,-32196.73798,15.29612245,0,0.008,0.134,0.0004037893565,6.143862539e-05
527,-32196.7807,15.33884359,0,0.008,0.129,0.0003451715925,0.005164177048
420,-32196.99285,15.55100011,0,0.002,0.092,7.759767975e-05,1.411061181e-53
507,-32197.00571,15.56386142,0,0.002,0.092,6.596069671e-05,1.714865833e-98
552,-32197.16146,15.71960748,0,0.006,0.12,0.0004860262293,0.02903252901
551,-32197.16185,15.71999652,0.001,0.006,0.12,0.0004816166201,0.02937781553
417,-32197.26945,15.82759249,0,0.001,0.064,2.432686666e-05,4.852285215e-32
557,-32197.29023,15.84838023,0,0.002,0.067,2.734916336e-05,5.383325767e-48
416,-32197.37211,15.93025834,0,0.001,0.067,2.084012386e-05,0.001461466477
574,-32197.3732,15.93134651,0,0.001,0.067,2.081739987e-05,0.00146650809
421,-32197.4474,16.00554798,0,0.003,0.089,7.20524742e-05,0.004111110559
456,-32197.4476,16.00574622,0,0.003,0.089,7.188038797e-05,0.004381193958
422,-32197.50534,16.06348326,0,0.004,0.096,7.83126791e-05,0.09171743807
532,-32197.61155,16.16969673,0,0.006,0.115,0.0005340999614,0.116333046
427,-32197.69649,16.25464232,0,0.003,0.083,4.759375014e-05,0.04541039828
535,-32197.71961,16.27775601,0,0.006,0.105,0.0003174705128,0.09539653603
528,-32197.73303,16.29117556,0.002,0.006,0.104,0.000416374658,0.1057590159
529,-32197.81967,16.3778151,0.001,0.005,0.104,0.0005863453947,0.07910028088
